Aged,Married,TotalDependents,ServiceSpan,MobileService,CyberProtection,HardwareSupport,TechnicalAssistance,FilmSubscription,QuarterlyPayment,GrandPayment,sex_Male,4GService_Satellite Broadband,4GService_Wifi Broadband,SettlementProcess_Card,SettlementProcess_Check,SettlementProcess_Electronic
0,1,0,0.232876712,1,0,1,0,1,0.759482127,0.201067451,0,1,0,1,0,0
0,0,0,0.356164384,1,0,0,0,0,0.028297141,0.05428677,1,0,1,1,0,0
0,0,0,0.863013699,1,0,0,0,1,0.084519081,0.184413381,1,0,0,0,0,0
0,0,0,0.849315068,1,1,1,1,0,0.955529102,0.805138922,1,0,1,0,1,0
1,0,0,0.178082192,1,1,0,0,1,0.588438479,0.120363883,1,0,1,0,0,1
0,0,1,0.328767123,0,0,0,0,0,0.241376671,0.118114178,0,0,1,0,0,0
0,1,1,0.753424658,1,0,0,0,1,0.026821186,0.139449558,1,1,0,0,1,0
0,0,0,0.232876712,1,1,0,0,1,0.473149831,0.127981265,0,0,1,0,0,0
0,1,1,0.095890411,0,0,0,0,0,0.02322811,0.016246993,1,0,1,1,0,0
0,0,0,0.205479452,1,0,0,0,1,0.039373583,0.038049241,1,1,0,1,0,0
0,0,0,0.410958904,1,0,1,0,0,0.338988524,0.175587898,1,0,1,0,0,1
0,0,0,0,1,0,0,0,1,0.071772804,0.002706661,0,1,0,0,0,0
0,0,0,0.301369863,1,0,0,0,0,0.65842917,0.209629358,1,1,0,0,0,0
1,1,0,0.97260274,1,0,1,0,0,0.842562055,0.841613858,1,0,1,0,0,1
0,1,0,0.123287671,1,0,0,0,0,0.022297267,0.021979487,1,1,0,0,0,0
0,1,1,0.178082192,1,0,0,1,1,0.124697127,0.042557613,1,0,0,1,0,0
1,0,0,0.082191781,1,0,0,0,0,0.501878102,0.036758168,1,0,1,0,1,0
0,0,0,0.02739726,1,0,0,0,0,0.172615899,0.013043873,0,1,0,1,0,0
1,0,0,0.342465753,1,0,0,0,0,0.346928435,0.148659883,1,0,1,1,0,0
0,1,1,0.397260274,1,1,0,1,0,0.493161464,0.221532403,1,0,0,0,0,0
0,1,1,0.835616438,1,0,1,0,0,0.624691467,0.563707586,1,0,1,1,0,0
1,0,0,0.712328767,1,0,0,0,1,0.029792783,0.111516537,0,1,0,1,0,0
0,1,1,0.205479452,1,0,0,0,1,0.503267133,0.132277617,1,0,1,0,0,1
0,0,0,0.410958904,1,1,0,1,0,0.335814133,0.17509801,1,1,0,0,0,0
0,1,1,0.767123288,0,1,0,0,0,0.676288104,0.529816832,1,0,0,0,0,1
0,0,0,0.931506849,0,0,0,0,0,0.04371303,0.166039647,0,0,1,1,0,0
0,0,0,0.219178082,1,0,0,0,0,0.071406597,0.042515092,1,0,1,0,0,0
0,1,1,0.698630137,1,0,1,1,0,0.497623956,0.401063216,1,0,0,0,0,1
0,1,0,0.931506849,1,1,0,0,1,0.784702377,0.791624495,0,0,1,0,0,0
0,1,1,0.04109589,1,0,0,0,0,0.036854346,0.004225571,1,0,1,0,1,0
0,1,1,0.95890411,1,0,0,0,1,0.043727305,0.171966021,1,0,1,0,0,0
1,0,0,0.246575342,1,1,0,0,0,0.609001499,0.175398358,0,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0.304117345,0.005753212,1,0,1,0,0,1
0,1,1,0.931506849,0,1,0,1,0,0.538114705,0.562543824,0,0,1,1,0,0
0,1,0,0.726027397,1,1,1,1,0,0.957190592,0.696523536,0,0,1,0,1,0
0,0,0,0.506849315,1,0,1,0,0,0.861908737,0.459924836,0,0,0,0,0,1
0,0,0,0.835616438,1,0,1,0,1,0.777209546,0.705297979,0,1,0,0,0,1
0,0,0,0.150684932,1,0,0,0,0,0.043641777,0.02582533,0,0,0,0,0,1
0,1,1,0.863013699,0,0,1,1,1,0.902667508,0.776231626,1,0,1,1,0,0
1,0,0,0.136986301,0,0,1,1,0,0.921836689,0.136423757,1,0,1,0,0,1
0,0,1,0,1,0,0,0,0,0.262430549,0.005257558,1,0,1,0,0,1
0,0,0,0.02739726,1,0,0,0,1,0.5713751,0.038964871,0,0,1,0,0,1
0,1,0,0.97260274,1,0,1,1,0,0.653209027,0.678670729,1,1,0,1,0,0
0,1,1,0.808219178,1,1,0,1,0,0.330314143,0.355704005,1,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0.033859606,0.00229519,1,1,0,0,1,0
0,1,0,0.589041096,1,0,1,0,1,0.77529788,0.455978544,0,0,1,0,0,0
0,1,1,0.01369863,1,0,0,0,0,0.038349724,0.005013325,1,0,1,0,1,0
0,1,1,0.95890411,1,1,1,1,1,0.965941294,0.998253581,0,1,0,1,0,0
0,1,1,0.575342466,1,0,0,0,0,0.102908803,0.116747222,0,1,0,0,0,1
1,1,0,0.534246575,1,1,1,0,0,0.649917879,0.377053865,0,0,1,0,0,0
1,1,0,0.849315068,1,0,0,0,1,0.086805948,0.172869678,1,0,1,0,0,0
0,1,0,0.931506849,1,1,1,1,0,0.672674551,0.685105469,0,0,1,1,0,0
1,0,0,0.97260274,1,1,1,1,1,0.942669416,0.903409653,1,1,0,0,0,0
1,0,0,0.04109589,0,0,0,0,0,0.06969312,0.005451246,1,1,0,0,1,0
1,1,0,0.534246575,1,0,0,0,0,0.747441146,0.443635146,1,1,0,0,0,1
0,1,1,0.082191781,0,0,0,0,0,0.036159415,0.018345726,0,1,0,0,0,1
0,0,0,0.616438356,1,1,1,0,1,0.75552076,0.537051287,1,0,1,1,0,0
0,1,1,0.698630137,1,1,0,1,0,0.590266209,0.456626618,0,0,0,0,0,0
0,0,1,0.164383562,1,1,0,0,1,0.592254071,0.10470482,1,0,0,0,0,1
0,0,0,0.232876712,1,0,0,0,1,0.628610271,0.167236649,0,0,0,0,0,1
0,1,1,0.479452055,1,0,1,1,0,0.280940012,0.166145649,1,1,0,0,0,1
0,0,0,0.246575342,1,1,1,1,0,0.379251482,0.134155321,1,0,0,1,0,0
0,0,0,0.643835616,1,0,1,1,1,0.566492596,0.428604482,1,0,1,0,0,0
0,1,1,0.917808219,0,1,1,1,0,0.877421579,0.823843811,0,0,1,1,0,0
0,1,1,0.95890411,1,0,0,0,1,0.012631185,0.156199889,0,0,0,0,0,0
0,0,0,0.931506849,1,0,0,0,0,0.034026993,0.161174591,1,0,0,1,0,0
0,0,0,0.04109589,1,0,0,0,0,0.035301656,0.010767813,0,0,1,0,1,0
0,1,0,1,1,1,1,0,0,0.641552225,0.681728902,1,0,1,1,0,0
0,1,1,0,1,1,1,0,0,0.614820303,0,0,1,0,0,1,0
0,1,1,0.95890411,1,1,1,1,0,0.939735905,0.949967152,0,0,1,1,0,0
1,0,0,0.657534247,1,0,1,0,1,0.714980215,0.519924308,0,0,0,1,0,0
0,0,0,0.01369863,1,0,0,0,1,0.531625592,0.008542281,0,0,1,0,0,1
0,0,0,0.082191781,1,1,0,0,1,0.118307789,0.025194709,1,0,0,0,1,0
0,1,1,0.260273973,1,0,0,0,1,0.037068222,0.045603618,1,0,0,0,0,0
0,0,1,0.671232877,1,0,0,0,0,0.584023456,0.423670752,1,0,1,1,0,0
0,0,1,0.095890411,1,0,0,0,0,0.041043305,0.011013945,0,0,1,0,1,0
0,1,1,0.232876712,1,0,0,0,0,0.039468136,0.045030234,1,1,0,0,1,0
0,1,1,1,1,1,1,1,0,0.88627553,0.869160881,1,0,1,1,0,0
0,1,0,0.465753425,1,0,1,0,0,0.796452901,0.406141529,0,1,0,0,0,1
0,0,0,0.054794521,0,1,0,0,0,0.384505476,0.038724302,1,0,1,0,0,0
0,0,0,0.424657534,1,1,1,1,1,0.891641662,0.415546144,1,0,0,0,0,0
0,1,0,0.287671233,0,1,0,0,1,0.109080602,0.07269993,0,0,1,0,0,1
0,0,1,0.164383562,1,0,1,1,0,0.348340102,0.082651505,0,0,1,0,1,0
0,0,0,0,1,0,0,0,1,0.014636213,0.002452897,0,0,1,1,0,0
1,0,0,0.123287671,1,0,0,0,0,0.687144148,0.08246616,0,1,0,0,0,1
0,1,0,0.630136986,1,1,0,1,1,0.534706619,0.372125619,1,0,0,0,1,0
0,0,0,0.369863014,1,0,0,0,0,0.090138885,0.082238327,0,0,1,1,0,0
0,0,0,0.01369863,1,1,0,0,0,0.755492586,0.011119978,0,1,0,0,0,1
0,0,0,0.136986301,1,0,0,0,0,0.197265487,0.041945722,0,1,0,0,1,0
0,1,0,0.931506849,1,1,1,1,1,0.464754599,0.52093831,1,0,0,1,0,0
0,0,0,0.219178082,1,0,0,0,0,0.026170379,0.039382631,0,1,0,0,1,0
0,0,0,0.561643836,1,0,0,1,0,0.716247526,0.401855512,1,0,0,1,0,0
0,0,0,0.054794521,1,0,0,0,0,0.283960887,0.023028868,1,1,0,0,0,1
0,1,0,0.561643836,1,0,1,1,0,0.802857133,0.476066436,0,0,1,1,0,0
1,1,0,0.520547945,1,0,0,1,1,0.819022125,0.454753401,0,1,0,0,0,1
0,1,0,0.643835616,1,0,1,1,0,0.513855779,0.395588128,1,0,1,0,1,0
1,0,0,0.917808219,1,1,0,1,1,0.719020362,0.707134617,0,0,1,0,0,0
0,1,0,0.164383562,1,0,1,0,0,0.561783209,0.113912077,0,1,0,0,1,0
1,0,0,0.315068493,1,0,0,0,1,0.770357335,0.239795014,1,0,1,0,0,1
0,1,0,0.301369863,1,0,0,0,0,0.738087094,0.258782648,1,0,1,0,0,1
0,1,0,1,1,1,1,0,1,0.819630953,0.844358043,0,1,0,0,0,0
0,1,0,0.01369863,1,0,0,0,0,0.206430626,0.011375309,0,1,0,0,0,1
0,1,0,0.821917808,1,0,0,0,1,0.03868386,0.147182686,1,0,1,1,0,0
0,1,0,0.726027397,1,1,0,0,1,0.573714543,0.445062687,1,0,1,0,1,0
1,0,0,0.602739726,1,1,0,1,0,0.877271796,0.529755051,1,1,0,1,0,0
0,1,0,0.452054795,1,0,0,1,1,0.693451065,0.364022778,1,0,1,0,0,0
0,1,0,0.547945205,1,0,0,0,1,0.0894578,0.127604091,0,0,1,0,0,1
0,1,0,1,1,1,1,1,0,0.91283912,0.948594376,1,1,0,1,0,0
0,0,0,0.02739726,1,0,0,0,1,0.522718408,0.030992275,0,0,1,0,0,1
0,0,0,0.095890411,1,0,0,0,1,0.037487675,0.015015047,1,0,1,0,1,0
0,0,0,0.452054795,0,0,0,0,0,0.055314908,0.086873063,1,0,1,0,0,0
0,0,0,0.232876712,1,1,1,1,0,0.491998276,0.149625949,1,0,0,0,0,1
1,1,0,0.02739726,1,0,0,0,1,0.552311338,0.008606009,1,0,1,0,0,1
0,1,0,0.068493151,1,0,1,0,0,0.757772133,0.057606368,0,0,1,0,0,1
0,0,0,0.904109589,1,0,0,1,0,0.114406209,0.228344725,1,1,0,1,0,0
0,1,1,0.630136986,1,1,0,0,0,0.345972667,0.268858057,0,1,0,0,0,0
1,0,0,0.753424658,1,0,1,1,0,0.348473876,0.349475794,0,0,1,0,0,1
0,1,0,0.082191781,1,0,0,0,1,0.01845523,0.014775605,0,0,0,0,1,0
0,1,1,0.191780822,1,0,1,0,0,0.704803078,0.164796132,0,1,0,1,0,0
0,0,1,0.602739726,1,0,1,0,1,0.798439325,0.533496016,1,0,1,0,0,0
0,0,0,0.02739726,1,0,1,1,0,0.613405133,0.02509479,0,0,1,1,0,0
0,1,1,0.876712329,1,1,0,0,0,0.613560914,0.591358881,0,0,1,0,0,1
0,1,1,0.04109589,0,0,0,1,0,0.412550756,0.025971255,0,0,1,0,1,0
0,1,1,0.452054795,1,0,0,0,0,0.02598457,0.066891473,1,1,0,0,1,0
1,0,0,0.095890411,1,0,0,0,0,0.268048067,0.030398044,0,1,0,0,0,1
0,0,0,0,1,0,0,0,1,0.032462571,0.002389912,1,0,1,1,0,0
0,0,0,0.589041096,1,0,0,0,0,0.82020807,0.492029054,0,1,0,0,0,1
0,1,0,0.438356164,1,0,0,0,1,0.71901164,0.345404772,1,0,1,0,1,0
0,1,1,0.547945205,1,0,1,0,0,0.766060385,0.450864724,1,1,0,1,0,0
1,0,0,0,1,0,0,0,1,0.529992276,0.008318906,0,0,1,0,0,1
1,0,1,0.493150685,1,1,0,0,0,0.620206396,0.364063915,0,0,0,0,1,0
0,1,0,0.753424658,1,1,0,0,1,0.815240567,0.635046421,1,1,0,0,0,1
0,0,0,0,1,0,0,0,0,0.042084303,0.002465636,1,0,1,1,0,0
0,1,0,0.493150685,1,0,1,0,0,0.588404414,0.327045447,0,0,1,1,0,0
0,0,1,0,1,0,0,0,0,0.071381146,0.002764204,1,0,1,0,1,0
0,1,1,0.753424658,1,1,0,1,1,0.345573701,0.332502835,1,0,1,0,1,0
0,1,1,1,1,1,1,0,1,0.5082963,0.576761262,0,0,1,1,0,0
0,0,0,0.068493151,1,0,1,0,0,0.856395482,0.062476273,0,0,0,0,1,0
1,0,0,0.452054795,1,0,0,0,1,0.550260383,0.26220797,1,1,0,0,0,1
0,1,1,0.01369863,1,1,0,0,1,0.786311416,0.0212807,1,0,1,0,0,1
0,1,1,0.931506849,1,0,0,1,0,0.851609521,0.810775769,0,0,1,1,0,0
0,1,0,0.273972603,1,0,1,0,0,0.356171129,0.135876476,1,1,0,0,1,0
0,0,0,0.02739726,0,0,0,0,0,0.27622282,0.00538421,0,0,1,1,0,0
0,0,0,0.123287671,1,0,0,0,0,0.267526932,0.040244863,1,1,0,0,1,0
0,0,0,0.602739726,1,0,0,0,0,0.423907408,0.293428985,1,1,0,0,0,1
0,0,0,0.01369863,1,0,0,0,0,0.522673196,0.008064183,1,1,0,0,0,1
0,0,0,0,1,0,0,0,1,0.041558648,0.002302388,0,0,0,0,1,0
1,0,0,0.246575342,1,0,1,1,0,0.742980235,0.201151059,1,0,0,0,0,0
0,0,0,0.95890411,1,0,1,1,0,0.888196261,0.846234114,1,1,0,0,0,0
1,0,0,0.479452055,1,0,0,0,1,0.591788949,0.327138876,0,0,0,0,0,1
0,0,0,0.191780822,1,1,0,0,1,0.449184113,0.114530184,1,0,1,0,0,0
0,0,0,0.164383562,0,0,0,1,1,0.797852128,0.130629851,1,0,1,0,1,0
0,1,0,0.397260274,1,0,0,1,0,0.315336261,0.172599305,0,0,1,0,1,0
0,1,1,0.191780822,1,1,0,0,0,0.501456081,0.108781263,0,1,0,0,1,0
0,1,1,0.438356164,1,0,0,0,0,0.035640705,0.078704033,1,0,1,0,0,0
0,0,0,0.136986301,1,0,0,1,0,0.758626787,0.095295811,1,0,0,0,0,0
0,0,0,0.082191781,1,0,0,0,1,0.614409972,0.060225409,1,0,0,0,0,0
0,0,0,0.602739726,1,0,0,0,1,0.27730438,0.249665523,1,1,0,0,0,0
0,0,0,0.260273973,0,0,0,0,0,0.020034556,0.044724514,0,0,1,1,0,0
1,1,0,0.98630137,1,0,0,0,0,0.093617033,0.219055289,0,0,0,0,0,0
0,0,0,0,1,1,0,0,1,0.56489652,0.008832142,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0.325558027,0.006103597,1,1,0,0,1,0
0,0,0,0.01369863,1,0,0,0,1,0.605773566,0.01917397,1,0,1,0,0,1
0,1,1,0.821917808,1,1,1,1,1,0.528634669,0.490899381,1,0,0,0,0,0
0,0,0,0.616438356,1,0,0,0,0,0.136493402,0.159081923,0,1,0,0,0,0
0,1,1,0.931506849,1,1,0,0,1,0.865436555,0.869852369,0,1,0,0,0,1
0,0,0,0.383561644,1,0,1,0,0,0.626664614,0.261703109,0,0,1,0,0,1
0,0,0,0.301369863,1,0,0,0,0,0.098753227,0.069663582,1,0,1,0,0,0
0,1,1,0.02739726,1,0,0,0,0,0.022736112,0.008143802,1,0,1,1,0,0
1,1,0,0.97260274,1,1,0,0,0,0.631922387,0.644881954,1,1,0,0,0,0
0,1,1,0.164383562,1,0,0,0,1,0.466559869,0.101054941,0,0,0,0,0,1
1,1,0,0.876712329,1,0,1,0,0,0.84340717,0.745905278,0,1,0,0,0,1
0,1,0,0.726027397,1,0,1,0,0,0.760893061,0.578685519,0,0,1,0,0,0
0,0,0,0.136986301,1,0,0,0,0,0.264084538,0.060463187,0,0,0,0,0,0
1,0,0,0.04109589,1,0,0,0,0,0.114298864,0.015344392,1,0,0,0,0,1
0,1,1,0.01369863,1,0,0,0,0,0.27494505,0.005424406,1,0,1,0,1,0
0,0,0,0.575342466,1,1,0,0,0,0.585465455,0.368364859,1,0,1,0,0,1
0,1,1,0.397260274,1,0,0,0,0,0.04741505,0.080377548,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0.759562749,0.022817301,0,0,0,0,0,1
0,1,0,0.98630137,1,1,0,0,0,0.75078639,0.796982709,0,0,1,1,0,0
0,1,0,0.657534247,1,1,1,0,1,0.8433647,0.60238852,1,1,0,0,1,0
0,0,0,0.01369863,1,0,0,0,0,0.569743723,0.024269862,1,0,1,0,0,1
0,0,1,0.301369863,1,0,0,0,1,0.024858185,0.054288386,1,0,0,0,0,1
0,0,0,0.04109589,1,0,1,1,0,0.561853135,0.045260703,1,0,1,0,0,0
0,1,0,0.383561644,1,0,0,0,1,0.021561413,0.073539522,0,1,0,0,1,0
0,0,0,0.01369863,1,0,0,0,1,0.086301739,0.009420305,1,1,0,0,0,1
0,0,0,0,1,0,1,1,0,0.233550131,0.009084468,0,0,0,1,0,0
0,1,0,0.479452055,1,1,0,1,0,0.435304701,0.23058475,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0,0.75051031,0.010723479,1,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0.032374995,0.002255737,0,0,0,0,1,0
0,1,0,0.808219178,1,0,0,0,0,0.662961641,0.585602217,1,0,1,0,0,1
1,0,0,0.821917808,0,1,0,0,0,0.530696729,0.503745323,1,0,0,0,0,1
0,0,0,0.534246575,1,1,1,1,0,0.960415182,0.521347344,1,1,0,0,0,0
1,1,0,0.849315068,1,0,1,0,0,0.841219461,0.737553845,1,1,0,1,0,0
0,0,0,0.479452055,1,0,1,0,0,0.857667937,0.408371573,1,0,1,0,0,1
0,1,1,0.630136986,1,1,1,1,1,0.73567439,0.496951891,0,0,1,0,1,0
0,0,0,0.054794521,1,0,0,0,1,0.666564537,0.059214891,0,1,0,0,1,0
0,1,1,0.657534247,1,0,0,0,0,0.771745003,0.550795888,0,0,1,0,0,1
0,1,1,0.698630137,1,0,1,0,0,0.833374287,0.610267016,0,0,1,0,0,0
